         1920208 function calls (1889728 primitive calls) in 2.762 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42/38    0.457    0.011    0.557    0.015 {built-in method _imp.create_dynamic}
     5917    0.174    0.000    0.174    0.000 {built-in method posix.stat}
     1015    0.139    0.000    0.139    0.000 {built-in method marshal.loads}
   1215/0    0.072    0.000    0.000          {built-in method builtins.exec}
     6654    0.063    0.000    0.112    0.000 inspect.py:891(cleandoc)
2965/2839    0.049    0.000    0.696    0.000 {built-in method builtins.__build_class__}
      207    0.041    0.000    0.122    0.001 artist.py:1421(__init__)
174669/174621    0.038    0.000    0.047    0.000 {built-in method builtins.isinstance}
     1015    0.036    0.000    0.177    0.000 <frozen importlib._bootstrap_external>:778(_compile_bytecode)
113670/113591    0.035    0.000    0.127    0.000 {built-in method builtins.getattr}
      207    0.027    0.000    0.081    0.000 artist.py:1441(get_aliases)
     4492    0.027    0.000    0.070    0.000 <frozen importlib._bootstrap>:304(acquire)
    10309    0.024    0.000    0.024    0.000 {built-in method posix.lstat}
   341/60    0.024    0.000    0.096    0.002 library.py:255(impl)
     1126    0.023    0.000    0.023    0.000 {built-in method torch._C._jit_get_operation}
170516/169309    0.023    0.000    0.023    0.000 {built-in method builtins.len}
      468    0.021    0.000    0.021    0.000 {built-in method builtins.dir}
   111611    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
    17912    0.020    0.000    0.025    0.000 _ops.py:1003(<genexpr>)
     1015    0.020    0.000    0.020    0.000 {built-in method _io.open_code}
25591/25584    0.020    0.000    0.022    0.000 {method 'join' of 'str' objects}
     1933    0.020    0.000    0.021    0.000 _ops.py:650(__init__)
     1933    0.019    0.000    0.019    0.000 {built-in method torch._C._get_operation_overload}
     9065    0.018    0.000    0.018    0.000 {method 'search' of 're.Pattern' objects}
      207    0.018    0.000    0.053    0.000 artist.py:1519(get_setters)
     1285    0.017    0.000    0.051    0.000 inspect.py:2369(_signature_from_function)
     1015    0.015    0.000    0.015    0.000 {method 'read' of '_io.BufferedReader' objects}
     2191    0.015    0.000    0.020    0.000 inspect.py:3010(__init__)
7921/7545    0.015    0.000    0.124    0.000 typing.py:426(inner)
     1436    0.015    0.000    0.207    0.000 <frozen importlib._bootstrap_external>:1620(find_spec)
2068/1548    0.015    0.000    0.084    0.000 inspect.py:2473(_signature_from_callable)
     3070    0.015    0.000    0.015    0.000 {built-in method torch._C._dispatch_has_kernel_for_dispatch_key}
     8445    0.015    0.000    0.028    0.000 inspect.py:2722(__init__)
    62818    0.015    0.000    0.015    0.000 {method 'append' of 'list' objects}
     4195    0.014    0.000    0.046    0.000 _ops.py:1002(_has_script_object_arg)
      241    0.014    0.000    0.014    0.000 {built-in method torch.parse_schema}
     3849    0.014    0.000    0.157    0.000 artist.py:1469(get_valid_values)
     1084    0.014    0.000    0.247    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      130    0.014    0.000    0.030    0.000 library.py:113(define)
    69520    0.013    0.000    0.013    0.000 {method 'lstrip' of 'str' objects}
14496/13689    0.013    0.000    0.029    0.000 {built-in method __new__ of type object at 0x88b020}
     9604    0.013    0.000    0.023    0.000 typing.py:1368(__setattr__)
24786/24748    0.012    0.000    0.021    0.000 {built-in method builtins.hasattr}
      945    0.012    0.000    0.040    0.000 <frozen posixpath>:390(realpath)
8730/2765    0.012    0.000    0.089    0.000 {built-in method builtins.any}
     2037    0.011    0.000    0.081    0.000 _ops.py:1047(__getattr__)
